year,cLand,scenario,source
1850,6.907931015547439,historical,GFDL-ESM4
1851,6.909012289540265,historical,GFDL-ESM4
1852,6.918357807188207,historical,GFDL-ESM4
1853,6.888743115361074,historical,GFDL-ESM4
1854,6.883630069974573,historical,GFDL-ESM4
1855,6.894013690196043,historical,GFDL-ESM4
1856,6.908280847875427,historical,GFDL-ESM4
1857,6.885242456676907,historical,GFDL-ESM4
1858,6.877607633949992,historical,GFDL-ESM4
1859,6.876096321671124,historical,GFDL-ESM4
1860,6.869707879509409,historical,GFDL-ESM4
1861,6.879612188511511,historical,GFDL-ESM4
1862,6.882194854783705,historical,GFDL-ESM4
1863,6.886218907986573,historical,GFDL-ESM4
1864,6.8875184350507395,historical,GFDL-ESM4
1865,6.867896930241545,historical,GFDL-ESM4
1866,6.852013332320216,historical,GFDL-ESM4
1867,6.836306965851803,historical,GFDL-ESM4
1868,6.8253474673149634,historical,GFDL-ESM4
1869,6.826154866909355,historical,GFDL-ESM4
1870,6.834121994088171,historical,GFDL-ESM4
1871,6.828317473059831,historical,GFDL-ESM4
1872,6.814386731082583,historical,GFDL-ESM4
1873,6.804280720960449,historical,GFDL-ESM4
1874,6.800629666784814,historical,GFDL-ESM4
1875,6.7891770152829976,historical,GFDL-ESM4
1876,6.79189529521397,historical,GFDL-ESM4
1877,6.793865947106622,historical,GFDL-ESM4
1878,6.795593279524482,historical,GFDL-ESM4
1879,6.790115534445803,historical,GFDL-ESM4
1880,6.77936219122303,historical,GFDL-ESM4
1881,6.776751657204163,historical,GFDL-ESM4
1882,6.782224003297675,historical,GFDL-ESM4
1883,6.783476661690528,historical,GFDL-ESM4
1884,6.772618080686798,historical,GFDL-ESM4
1885,6.775386032804012,historical,GFDL-ESM4
1886,6.784712205376501,historical,GFDL-ESM4
1887,6.7981474836970195,historical,GFDL-ESM4
1888,6.79864216784109,historical,GFDL-ESM4
1889,6.781410568300967,historical,GFDL-ESM4
1890,6.778243252885461,historical,GFDL-ESM4
1891,6.779324764457077,historical,GFDL-ESM4
1892,6.778818513207667,historical,GFDL-ESM4
1893,6.767108239583078,historical,GFDL-ESM4
1894,6.7627448225818485,historical,GFDL-ESM4
1895,6.758486185273601,historical,GFDL-ESM4
1896,6.748407771787232,historical,GFDL-ESM4
1897,6.747251097730435,historical,GFDL-ESM4
1898,6.752603816768527,historical,GFDL-ESM4
1899,6.745231554644736,historical,GFDL-ESM4
1900,6.719868152103062,historical,GFDL-ESM4
1901,6.704692604708282,historical,GFDL-ESM4
1902,6.716430017453192,historical,GFDL-ESM4
1903,6.7273999863726575,historical,GFDL-ESM4
1904,6.715063646917475,historical,GFDL-ESM4
1905,6.693422260275543,historical,GFDL-ESM4
1906,6.6957964552087,historical,GFDL-ESM4
1907,6.7011811626941045,historical,GFDL-ESM4
1908,6.700930868009838,historical,GFDL-ESM4
1909,6.688822056302139,historical,GFDL-ESM4
1910,6.677875149951923,historical,GFDL-ESM4
1911,6.659744319191948,historical,GFDL-ESM4
1912,6.66179420923326,historical,GFDL-ESM4
