time,co2mass,scenario
1850-01-16 12:00:00,2213998000000000.0,historical
1850-02-15 00:00:00,2214179500000000.0,historical
1850-03-16 12:00:00,2214300900000000.0,historical
1850-04-16 00:00:00,2214424100000000.0,historical
1850-05-16 12:00:00,2214698000000000.0,historical
1850-06-16 00:00:00,2214937300000000.0,historical
1850-07-16 12:00:00,2215213800000000.0,historical
1850-08-16 12:00:00,2215276600000000.0,historical
1850-09-16 00:00:00,2215131400000000.0,historical
1850-10-16 12:00:00,2214923400000000.0,historical
1850-11-16 00:00:00,2214844600000000.0,historical
1850-12-16 12:00:00,2214894400000000.0,historical
1851-01-16 12:00:00,2215057000000000.0,historical
1851-02-15 00:00:00,2215138900000000.0,historical
1851-03-16 12:00:00,2215338400000000.0,historical
1851-04-16 00:00:00,2215550200000000.0,historical
1851-05-16 12:00:00,2215792600000000.0,historical
1851-06-16 00:00:00,2216072400000000.0,historical
1851-07-16 12:00:00,2216335300000000.0,historical
1851-08-16 12:00:00,2216353300000000.0,historical
1851-09-16 00:00:00,2216229700000000.0,historical
1851-10-16 12:00:00,2216057400000000.0,historical
1851-11-16 00:00:00,2216057100000000.0,historical
1851-12-16 12:00:00,2216051200000000.0,historical
1852-01-16 12:00:00,2216226500000000.0,historical
1852-02-15 00:00:00,2216351400000000.0,historical
1852-03-16 12:00:00,2216548700000000.0,historical
1852-04-16 00:00:00,2216723500000000.0,historical
1852-05-16 12:00:00,2216907400000000.0,historical
1852-06-16 00:00:00,2217240400000000.0,historical
1852-07-16 12:00:00,2217499700000000.0,historical
1852-08-16 12:00:00,2217524900000000.0,historical
1852-09-16 00:00:00,2217351100000000.0,historical
1852-10-16 12:00:00,2217118400000000.0,historical
1852-11-16 00:00:00,2217007600000000.0,historical
1852-12-16 12:00:00,2217023900000000.0,historical
1853-01-16 12:00:00,2217269400000000.0,historical
1853-02-15 00:00:00,2217426800000000.0,historical
1853-03-16 12:00:00,2217535400000000.0,historical
1853-04-16 00:00:00,2217688400000000.0,historical
1853-05-16 12:00:00,2217918200000000.0,historical
1853-06-16 00:00:00,2218223200000000.0,historical
1853-07-16 12:00:00,2218511800000000.0,historical
