year,fgco2,scenario,source
1850,0.5197175830802708,historical,GFDL-ESM4
1851,0.1531464196225394,historical,GFDL-ESM4
1852,0.22089290186671479,historical,GFDL-ESM4
1853,0.9490099960164601,historical,GFDL-ESM4
1854,0.3926845414829829,historical,GFDL-ESM4
1855,0.18192690369261413,historical,GFDL-ESM4
1856,-0.1805295186308032,historical,GFDL-ESM4
1857,0.9747231075322818,historical,GFDL-ESM4
1858,0.8739265020564361,historical,GFDL-ESM4
1859,0.46398008877335173,historical,GFDL-ESM4
1860,0.06914237986433208,historical,GFDL-ESM4
1861,-0.07541423794011208,historical,GFDL-ESM4
1862,0.1956190455843511,historical,GFDL-ESM4
1863,0.14029898886406889,historical,GFDL-ESM4
1864,0.5928554532644958,historical,GFDL-ESM4
1865,1.0409999827183332,historical,GFDL-ESM4
1866,1.3703479661980666,historical,GFDL-ESM4
1867,1.5847124994486796,historical,GFDL-ESM4
1868,1.2541672820778966,historical,GFDL-ESM4
1869,0.42483713797395617,historical,GFDL-ESM4
1870,0.41862705644964876,historical,GFDL-ESM4
1871,0.932601871169847,historical,GFDL-ESM4
1872,1.0362901595052756,historical,GFDL-ESM4
1873,1.3134148752331192,historical,GFDL-ESM4
1874,1.1006231576996928,historical,GFDL-ESM4
1875,0.7741577484141108,historical,GFDL-ESM4
1876,0.18906624723619198,historical,GFDL-ESM4
1877,0.678519522501613,historical,GFDL-ESM4
1878,0.5863856749519482,historical,GFDL-ESM4
1879,1.3021889767899486,historical,GFDL-ESM4
1880,1.175079871839543,historical,GFDL-ESM4
1881,0.8712290976872811,historical,GFDL-ESM4
1882,0.5544210719589463,historical,GFDL-ESM4
1883,1.1900932106692608,historical,GFDL-ESM4
1884,1.724255225656753,historical,GFDL-ESM4
1885,0.7653479598373061,historical,GFDL-ESM4
1886,-0.33675004904407435,historical,GFDL-ESM4
1887,0.3063048094240134,historical,GFDL-ESM4
1888,0.856653667296007,historical,GFDL-ESM4
1889,0.9539293472487064,historical,GFDL-ESM4
1890,0.8306267602548058,historical,GFDL-ESM4
1891,0.8557538625904242,historical,GFDL-ESM4
1892,1.1014084891448774,historical,GFDL-ESM4
1893,1.0344500680061175,historical,GFDL-ESM4
1894,1.1452603373073138,historical,GFDL-ESM4
1895,1.5023730145459526,historical,GFDL-ESM4
1896,1.2244676507172483,historical,GFDL-ESM4
1897,1.0333823125719646,historical,GFDL-ESM4
1898,0.9929525066552471,historical,GFDL-ESM4
1899,1.4590057061961665,historical,GFDL-ESM4
1900,1.8648051883444572,historical,GFDL-ESM4
1901,1.2960248843227875,historical,GFDL-ESM4
1902,0.09465096952589405,historical,GFDL-ESM4
1903,0.8476563418779546,historical,GFDL-ESM4
1904,1.6267765717786327,historical,GFDL-ESM4
1905,1.7113092936363894,historical,GFDL-ESM4
1906,1.2016536426616258,historical,GFDL-ESM4
1907,1.0508711535290676,historical,GFDL-ESM4
1908,1.1663710956856799,historical,GFDL-ESM4
1909,1.830658912366889,historical,GFDL-ESM4
1910,2.1882246277703055,historical,GFDL-ESM4
1911,2.3664706351188194,historical,GFDL-ESM4
1912,1.8156174594997012,historical,GFDL-ESM4
1913,1.857499273027502,historical,GFDL-ESM4
1914,1.8566506412862214,historical,GFDL-ESM4
1915,2.247382431196155,historical,GFDL-ESM4
1916,2.1154088655947025,historical,GFDL-ESM4
1917,1.842625235357924,historical,GFDL-ESM4
1918,2.119537743963419,historical,GFDL-ESM4
1919,2.5252858823745257,historical,GFDL-ESM4
1920,2.19484744189,historical,GFDL-ESM4
1921,1.6841844074482264,historical,GFDL-ESM4
1922,1.8385200689310095,historical,GFDL-ESM4
1923,2.638748584783185,historical,GFDL-ESM4
1924,1.9480470904646074,historical,GFDL-ESM4
1925,1.5611475988536685,historical,GFDL-ESM4
1926,1.7554238075379873,historical,GFDL-ESM4
1927,2.0311489520262715,historical,GFDL-ESM4
1928,2.8359867579071696,historical,GFDL-ESM4
1929,2.5937005012388,historical,GFDL-ESM4
1930,2.0049991233664755,historical,GFDL-ESM4
1931,2.4791677610867127,historical,GFDL-ESM4
1932,2.792050610945192,historical,GFDL-ESM4
1933,2.483307547514318,historical,GFDL-ESM4
1934,1.8784889290244355,historical,GFDL-ESM4
1935,1.984339466875458,historical,GFDL-ESM4
1936,1.4656253248102769,historical,GFDL-ESM4
1937,2.087025903937984,historical,GFDL-ESM4
