year,tas,scenario
1960,13.08500500750091,historical
1961,12.83253035715461,historical
1962,12.728461123451154,historical
1963,12.636884834223736,historical
1964,12.592402550691418,historical
1965,12.601874893865329,historical
1966,12.642228928221357,historical
1967,12.691200063790234,historical
1968,12.630652473414841,historical
1969,12.800510194161802,historical
1970,12.900072411988617,historical
1971,12.859732830838936,historical
1972,12.783105767721452,historical
1973,12.72150988450312,historical
1974,12.81290192616791,historical
1975,12.774628661239888,historical
1976,12.973266977324158,historical
1977,12.841590897716799,historical
1978,12.843975643224212,historical
1979,12.953786080175007,historical
1980,12.943907867408882,historical
1981,12.76260373131879,historical
1982,12.91630548275225,historical
1983,12.844111038402502,historical
1984,12.856823070901328,historical
1985,12.802653477182275,historical
1986,13.046347301323578,historical
1987,13.259295308827632,historical
1988,13.127233401166905,historical
1989,13.110552536957812,historical
1990,13.06440073294982,historical
1991,13.16212452505306,historical
1992,12.937156352573993,historical
1993,12.856868731358361,historical
1994,12.927270060718456,historical
1995,13.019506866228653,historical
1996,13.166070817404659,historical
1997,13.286067931496063,historical
1998,13.305236344769185,historical
1999,13.161318774028985,historical
2000,13.411768973286257,historical
2001,13.488681862873932,historical
2002,13.424842350853453,historical
2003,13.435885281186984,historical
2004,13.594308853766677,historical
2005,13.56648480481715,historical
2006,13.587157777686627,historical
2007,13.630280904130132,historical
2008,13.62555505125249,historical
2009,13.477360818217221,historical
2010,13.638430617776123,historical
2011,13.767409184580572,historical
2012,13.665561205486597,historical
2013,13.686148949350752,historical
2014,13.798854087708605,historical
2015,11.477959551273045,historical
2015,13.817079664337996,ssp245
2016,13.779590244246663,ssp245
2017,13.701541720791568,ssp245
2018,13.802563005510251,ssp245
2019,13.800873463617279,ssp245
2020,13.834418565930378,ssp245
2021,13.939790737735734,ssp245
2022,14.023747090882694,ssp245
2023,14.038430917724213,ssp245
2024,14.045326572357453,ssp245
2025,14.169146206075084,ssp245
2026,14.256604421111092,ssp245
2027,14.168668172282935,ssp245
2028,14.147083174777322,ssp245
2029,14.291674570259886,ssp245
2030,14.3619006479517,ssp245
2031,14.200606332181167,ssp245
2032,14.186409271454693,ssp245
2033,14.169968610867102,ssp245
2034,14.323860358260731,ssp245
2035,14.366233394216408,ssp245
2036,14.467432085612643,ssp245
